Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region,ClaimIndicator
0.38,C,5,2,56,50,B1,Regular,135,R26,0
0.32,C,8,3,32,54,B10,Diesel,102,R23,0
0.7,B,6,1,69,50,B12,Regular,94,R93,0
0.08,E,5,2,29,85,B2,Diesel,2983,R31,0
0.28,B,12,2,48,50,B12,Diesel,64,R73,0
1.0,A,6,13,53,50,B1,Diesel,26,R24,0
0.78,A,10,12,37,63,B2,Regular,6,R24,0
0.01,D,10,10,31,68,B13,Diesel,1541,R91,0
1.0,C,5,2,45,50,B1,Diesel,405,R24,0
1.0,C,5,12,66,76,B2,Regular,126,R24,0
1.0,D,7,9,34,50,B2,Diesel,1323,R82,0
0.05,C,10,12,45,50,B5,Diesel,229,R53,0
0.9,E,12,3,61,50,B1,Diesel,4762,R93,0
0.66,C,6,8,31,76,B2,Diesel,155,R24,0
1.0,C,7,16,70,50,B2,Regular,105,R24,0
1.0,D,5,2,75,50,B2,Diesel,959,R23,0
1.0,D,4,4,43,51,B6,Regular,1313,R24,0
0.08,E,6,4,36,54,B1,Diesel,3060,R11,0
0.49,C,8,12,52,50,B6,Diesel,269,R91,0
0.4,C,12,0,52,50,B12,Diesel,254,R72,0
0.08,D,6,4,27,80,B1,Regular,1521,R82,0
0.06,E,8,0,57,60,B12,Diesel,3744,R93,0
0.13,D,8,12,24,85,B2,Regular,974,R72,0
0.51,E,5,10,65,50,B4,Diesel,2906,R72,0
1.0,B,6,2,61,50,B1,Diesel,84,R24,0
0.24,E,9,7,34,50,B1,Regular,3301,R73,0
0.78,E,7,6,58,50,B1,Diesel,4220,R11,0
0.08,E,7,4,38,72,B10,Regular,8455,R82,0
0.49,C,6,6,29,95,B4,Regular,413,R72,0
0.95,E,4,11,38,50,B1,Regular,3317,R93,0
0.5,C,10,4,50,50,B3,Diesel,437,R91,1
0.5,A,5,17,24,72,B1,Regular,31,R24,0
0.07,E,6,12,63,60,B1,Diesel,3708,R26,0
0.58,E,5,3,51,50,B3,Regular,4348,R72,0
1.0,D,6,10,36,50,B2,Diesel,779,R82,0
1.0,A,4,4,70,50,B2,Regular,47,R82,0
1.0,C,10,8,66,50,B12,Regular,161,R72,0
0.13,C,5,2,55,69,B1,Diesel,369,R24,0
0.45,C,7,0,51,72,B1,Diesel,399,R24,0
0.12,D,6,1,30,68,B12,Regular,1370,R73,0
1.0,C,6,12,30,68,B5,Regular,473,R53,0
1.0,B,7,16,65,50,B2,Regular,62,R93,0
0.15,E,5,1,77,71,B12,Regular,3991,R21,0
0.08,B,6,7,59,51,B2,Diesel,60,R24,0
0.04,A,6,14,31,100,B3,Regular,41,R52,0
1.0,C,4,5,68,50,B2,Regular,128,R54,0
0.05,C,12,0,34,51,B3,Diesel,210,R82,0
0.16,D,7,13,53,50,B2,Regular,999,R73,0
1.0,D,5,14,23,95,B2,Diesel,1601,R41,0
1.0,C,7,6,31,50,B1,Diesel,430,R11,0
1.0,C,6,6,63,50,B3,Regular,118,R82,0
0.84,E,5,3,41,60,B12,Regular,9817,R11,0
0.24,E,7,12,28,80,B2,Regular,3859,R82,0
1.0,C,7,12,36,50,B2,Regular,421,R24,0
0.36,B,6,1,41,50,B12,Diesel,84,R74,0
0.08,E,7,13,29,72,B11,Diesel,4775,R11,0
0.46,A,7,0,45,50,B5,Diesel,45,R24,0
0.63,E,5,4,61,57,B12,Regular,2663,R11,0
1.0,C,5,8,47,50,B2,Diesel,347,R53,0
0.78,A,11,0,62,50,B11,Diesel,23,R24,0
0.12,F,8,15,29,50,B6,Regular,10155,R11,0
1.0,B,5,11,41,50,B2,Diesel,57,R24,0
0.62,E,4,1,28,76,B12,Regular,2983,R31,0
0.75,E,11,3,52,50,B10,Diesel,2715,R24,0
0.19,D,5,9,51,50,B3,Diesel,883,R93,0
0.98,C,5,3,39,50,B2,Diesel,229,R91,0
0.04,F,4,10,67,50,B6,Regular,27000,R11,0
0.08,D,5,0,28,64,B2,Diesel,1057,R72,0
1.0,E,5,12,31,64,B3,Regular,9307,R82,0
1.0,D,4,3,73,50,B2,Regular,586,R41,0
0.28,C,4,3,38,57,B12,Diesel,141,R23,0
0.06,E,4,0,36,50,B12,Regular,9812,R11,0
1.0,B,7,7,38,50,B11,Regular,93,R54,0
1.0,B,5,13,26,80,B2,Regular,68,R24,0
0.09,B,7,0,39,50,B12,Diesel,72,R54,0
1.0,C,6,9,62,50,B1,Diesel,111,R24,0
0.82,D,7,1,39,85,B12,Diesel,1451,R31,0
0.7,A,6,12,23,85,B4,Regular,30,R24,0
1.0,D,8,3,57,50,B2,Diesel,1182,R82,0
1.0,E,4,13,40,74,B2,Regular,3366,R11,0
0.53,C,5,4,40,50,B12,Regular,174,R94,0
0.95,C,4,1,28,75,B12,Regular,143,R73,0
0.48,D,5,3,54,50,B3,Diesel,1326,R93,0
0.1,A,6,2,32,56,B12,Diesel,23,R24,1
0.1,A,6,4,30,57,B2,Diesel,31,R24,0
1.0,B,7,2,37,125,B2,Diesel,66,R52,0
0.04,D,6,8,41,60,B3,Regular,726,R91,0
1.0,B,7,5,33,68,B5,Diesel,57,R24,0
1.0,D,9,7,46,50,B3,Regular,762,R93,0
1.0,D,5,17,40,64,B1,Regular,754,R24,0
0.16,E,6,8,66,50,B2,Diesel,4128,R52,0
1.0,C,5,10,52,50,B1,Regular,112,R24,0
0.54,A,6,2,66,50,B2,Diesel,10,R24,0
0.08,C,13,1,37,51,B11,Diesel,161,R93,1
0.08,C,7,3,39,68,B12,Regular,182,R72,0
0.4,B,7,38,42,64,B2,Diesel,88,R54,0
0.91,A,6,2,25,72,B6,Diesel,43,R54,0
0.06,E,6,0,27,60,B1,Diesel,3386,R53,0
1.0,A,7,2,34,60,B2,Regular,26,R24,0
0.9,A,7,11,32,57,B2,Diesel,49,R24,0
0.38,E,7,2,30,64,B3,Regular,2715,R93,0
0.49,E,7,3,43,75,B4,Diesel,3317,R93,0
0.42,B,7,8,25,72,B2,Regular,72,R82,0
1.0,A,4,2,46,50,B3,Diesel,14,R24,0
0.74,E,4,1,60,50,B12,Regular,3214,R83,0
1.0,C,7,2,26,80,B1,Regular,165,R53,0
0.06,D,6,9,44,90,B1,Diesel,745,R82,0
0.47,F,6,9,52,50,B1,Diesel,22669,R11,0
1.0,D,5,7,61,50,B4,Regular,853,R11,0
1.0,B,6,11,68,50,B2,Regular,57,R24,0
0.22,E,5,7,48,50,B2,Diesel,4128,R52,0
0.1,C,5,2,28,76,B3,Regular,203,R93,0
0.52,F,4,8,30,50,B2,Regular,22821,R11,0
1.0,B,4,15,44,50,B1,Diesel,66,R52,0
0.24,A,10,5,64,50,B1,Diesel,14,R53,0
1.0,B,7,9,74,50,B1,Diesel,78,R24,0
1.0,E,7,17,54,50,B1,Regular,4762,R93,0
1.0,D,5,14,33,54,B1,Regular,1329,R11,0
0.2,C,5,3,45,50,B12,Regular,190,R82,0
0.36,F,9,0,35,72,B12,Diesel,27000,R11,0
0.17,E,6,17,40,50,B3,Regular,4172,R82,0
0.87,D,9,12,39,95,B1,Regular,722,R53,0
0.08,E,4,0,68,54,B1,Regular,3301,R73,0
0.24,D,4,1,28,72,B3,Regular,721,R93,0
1.0,D,7,6,47,50,B10,Diesel,1403,R93,0
0.22,C,7,5,23,100,B3,Diesel,136,R73,0
0.45,B,4,1,60,50,B12,Regular,56,R54,0
0.5,D,7,13,41,54,B1,Regular,1753,R82,0
0.1,D,10,6,36,57,B12,Regular,1955,R94,1
0.83,D,7,9,47,50,B2,Diesel,741,R24,0
0.18,D,10,15,39,71,B2,Diesel,831,R54,0
0.71,F,5,4,35,54,B12,Regular,22669,R11,0
0.32,C,5,14,43,95,B3,Regular,105,R54,0
0.78,C,7,2,53,50,B2,Regular,213,R91,0
0.2,B,8,8,54,52,B2,Diesel,94,R53,0
0.74,F,5,10,51,50,B1,Regular,15703,R11,0
0.24,E,5,6,33,68,B1,Regular,6736,R11,0
1.0,A,10,2,44,50,B5,Diesel,43,R82,0
0.07,E,5,0,55,50,B2,Regular,3859,R82,0
0.49,E,6,12,49,90,B1,Diesel,9307,R82,1
1.0,E,13,21,40,50,B10,Diesel,3657,R82,0
0.42,D,5,10,38,60,B1,Regular,563,R52,0
1.0,D,7,1,60,50,B11,Diesel,1403,R93,0
0.08,D,6,1,35,72,B1,Diesel,1445,R72,0
0.11,C,6,8,49,50,B2,Diesel,242,R24,0
0.53,F,7,2,44,68,B13,Diesel,27000,R11,0
1.0,A,8,20,51,50,B10,Regular,32,R24,0
0.08,A,10,15,57,50,B4,Regular,49,R91,0
1.0,A,9,6,44,50,B1,Diesel,27,R24,0
0.74,C,12,10,40,50,B12,Diesel,256,R73,0
1.0,D,6,11,32,76,B2,Diesel,754,R24,0
1.0,B,7,9,47,50,B2,Regular,50,R53,0
1.0,C,6,13,33,50,B3,Regular,109,R53,0
0.08,D,5,16,19,100,B2,Diesel,677,R31,0
0.48,E,6,3,64,50,B2,Diesel,3541,R52,0
1.0,D,4,19,81,50,B5,Regular,1064,R24,0
0.33,E,10,1,38,57,B1,Regular,6465,R11,0
1.0,A,6,12,39,50,B2,Diesel,21,R53,0
1.0,A,8,5,32,50,B2,Diesel,22,R24,0
0.58,D,5,5,32,95,B3,Diesel,670,R82,0
0.07,C,6,10,33,80,B2,Diesel,144,R25,0
0.08,C,7,9,52,50,B5,Regular,269,R91,0
0.5,B,10,16,46,50,B2,Diesel,57,R24,0
0.69,B,8,12,36,50,B14,Diesel,66,R24,0
1.0,B,6,2,56,50,B1,Diesel,97,R22,0
0.96,A,4,0,44,54,B2,Diesel,48,R24,0
0.83,F,7,0,30,57,B12,Regular,27000,R11,0
0.46,B,5,13,35,72,B2,Diesel,51,R41,0
0.47,B,4,13,42,50,B1,Regular,71,R24,0
1.0,D,5,10,70,50,B1,Regular,618,R52,0
0.53,E,4,13,19,100,B5,Regular,2257,R72,1
1.0,A,4,14,49,50,B2,Regular,26,R24,0
0.2,C,11,3,43,50,B12,Diesel,235,R52,0
0.5,A,6,5,39,50,B5,Diesel,35,R24,0
0.05,C,6,1,52,50,B2,Regular,465,R11,0
0.7,C,7,16,31,56,B2,Diesel,443,R73,0
0.32,C,5,9,34,51,B2,Diesel,473,R53,0
0.26,C,5,9,27,64,B5,Diesel,198,R31,0
1.0,C,5,12,84,50,B1,Regular,405,R24,0
1.0,E,6,9,50,50,B13,Regular,4116,R24,0
1.0,C,5,2,39,50,B1,Diesel,105,R24,0
1.0,C,5,11,44,50,B2,Regular,257,R25,0
0.07,E,4,0,71,50,B12,Regular,4427,R11,0
0.03,D,4,2,47,50,B12,Diesel,868,R73,0
1.0,C,6,3,35,50,B4,Diesel,138,R24,0
0.29,C,7,9,28,68,B1,Regular,418,R53,0
0.23,C,4,10,23,100,B2,Regular,159,R91,1
1.0,B,6,3,78,50,B1,Regular,88,R24,0
0.07,D,5,3,48,50,B2,Diesel,1526,R82,0
0.4,E,7,0,29,76,B5,Diesel,8884,R11,0
0.67,E,7,1,39,59,B12,Diesel,3374,R42,0
1.0,C,7,6,35,50,B10,Diesel,182,R24,0
0.08,E,4,12,55,85,B2,Regular,4059,R23,0
0.78,C,4,2,55,50,B12,Regular,107,R91,0
0.01,D,10,9,51,50,B11,Regular,607,R82,0
0.36,D,4,14,45,76,B4,Regular,1974,R54,0
1.0,D,4,3,45,50,B2,Diesel,817,R31,0
0.42,B,5,1,37,50,B4,Diesel,53,R24,0
1.0,C,4,1,42,50,B1,Regular,238,R72,0
0.24,C,4,12,57,59,B1,Regular,125,R53,0
1.0,B,6,5,77,50,B2,Diesel,91,R24,0
0.14,D,11,2,41,57,B12,Diesel,721,R93,0
1.0,A,4,5,72,50,B2,Regular,11,R24,1
1.0,C,4,3,38,50,B2,Regular,146,R93,0
1.0,C,6,6,53,50,B1,Diesel,109,R24,0
0.82,D,4,2,34,50,B12,Diesel,883,R93,0
0.38,B,7,10,54,50,B1,Regular,68,R52,0
0.29,D,5,6,46,50,B12,Regular,645,R91,0
0.49,D,9,11,41,64,B2,Regular,1064,R93,0
1.0,C,7,4,67,50,B1,Diesel,139,R24,0
0.51,B,7,0,50,50,B2,Regular,70,R91,0
1.0,D,9,12,37,90,B2,Regular,1329,R11,0
0.13,D,9,9,41,50,B12,Regular,886,R54,0
1.0,A,6,3,76,50,B2,Regular,44,R24,0
0.09,D,4,0,31,67,B12,Regular,824,R91,0
0.87,C,7,1,25,100,B12,Regular,256,R22,0
0.49,A,9,0,28,85,B12,Regular,13,R94,0
0.2,C,5,5,35,50,B3,Diesel,138,R26,0
0.45,A,4,9,22,100,B6,Regular,37,R72,0
0.62,D,7,4,73,50,B12,Regular,863,R82,0
0.87,A,4,40,58,50,B2,Regular,26,R31,0
0.75,F,7,4,46,58,B13,Diesel,27000,R11,0
0.69,C,5,11,38,50,B2,Diesel,222,R24,0
1.0,D,6,2,58,50,B2,Diesel,1109,R24,0
0.45,E,6,4,44,80,B12,Regular,3132,R11,0
0.34,B,4,10,26,90,B2,Regular,95,R53,0
0.49,D,8,13,40,50,B13,Regular,646,R42,0
0.08,D,7,9,51,50,B2,Diesel,1326,R93,0
0.45,A,6,9,43,50,B1,Diesel,30,R24,0
0.74,D,4,10,58,50,B3,Regular,1817,R21,0
0.08,E,4,4,75,50,B12,Regular,7955,R11,0
0.06,B,7,0,31,72,B12,Regular,72,R31,1
0.62,B,5,0,73,50,B2,Regular,57,R54,0
1.0,D,7,15,48,50,B1,Regular,568,R52,0
0.03,E,5,2,70,50,B12,Regular,2317,R11,0
0.54,B,7,15,29,85,B13,Regular,71,R22,0
1.0,C,5,7,56,50,B1,Regular,461,R53,0
0.07,A,6,7,77,50,B12,Regular,15,R93,0
0.69,E,5,0,54,50,B1,Diesel,9307,R82,0
0.11,C,5,14,30,57,B2,Diesel,174,R53,0
0.08,B,7,19,54,50,B1,Regular,94,R82,0
0.08,D,4,10,38,68,B4,Regular,1307,R31,0
1.0,D,6,15,50,50,B12,Regular,1193,R24,0
1.0,A,5,1,27,60,B2,Regular,33,R53,0
0.74,D,5,16,42,95,B4,Regular,1054,R24,0
0.59,D,7,2,45,78,B12,Regular,1695,R82,0
0.1,E,8,1,35,90,B12,Regular,9307,R82,0
0.08,D,6,13,29,95,B1,Diesel,1490,R31,0
0.5,C,4,15,51,50,B4,Regular,269,R91,0
0.01,B,8,15,27,85,B1,Diesel,79,R24,0
0.57,E,4,1,26,80,B1,Regular,8549,R82,0
0.0027322404371584,A,6,14,53,50,B1,Regular,15,R24,0
1.0,C,7,11,20,95,B11,Regular,148,R31,0
0.08,C,5,4,34,50,B4,Diesel,402,R93,0
0.74,E,5,2,68,50,B12,Regular,4939,R11,0
0.21,E,7,4,45,56,B2,Regular,5539,R11,0
0.66,C,4,9,50,50,B6,Regular,295,R24,0
0.29,D,13,2,72,97,B10,Diesel,1629,R93,0
0.46,E,4,0,46,50,B2,Diesel,3021,R53,0
1.0,D,5,5,43,50,B3,Diesel,1286,R91,0
0.54,E,10,4,37,54,B12,Regular,3317,R93,0
0.54,D,14,12,32,50,B14,Regular,1294,R72,0
1.0,D,5,4,53,50,B1,Regular,634,R53,1
0.08,A,7,10,55,50,B6,Regular,45,R93,0
0.01,D,6,12,27,68,B6,Diesel,1329,R11,0
0.43,E,5,1,31,57,B2,Regular,2790,R11,0
0.16,B,5,6,43,50,B5,Diesel,94,R53,0
1.0,C,6,6,34,50,B1,Diesel,151,R25,0
0.82,B,7,1,51,50,B1,Diesel,97,R53,0
0.33,D,6,0,64,50,B1,Regular,1326,R93,0
0.97,E,4,3,24,85,B1,Regular,4762,R93,0
0.21,D,6,6,39,76,B1,Diesel,1408,R52,0
1.0,C,6,7,48,50,B1,Regular,196,R25,0
1.0,C,5,12,35,68,B4,Regular,416,R31,0
0.29,D,5,6,47,50,B1,Regular,1313,R24,0
0.34,A,4,2,73,50,B12,Regular,22,R72,0
0.28,C,5,6,39,68,B2,Diesel,345,R93,0
0.13,D,7,8,53,50,B4,Diesel,1185,R11,0
0.2,D,6,9,32,68,B12,Regular,910,R31,0
0.04,E,4,4,53,80,B12,Regular,3744,R93,0
0.53,E,7,12,31,50,B2,Regular,5460,R11,0
0.46,D,5,1,52,50,B12,Regular,1006,R93,0
0.39,D,11,0,59,50,B12,Regular,1200,R31,0
0.09,C,7,12,60,50,B2,Diesel,218,R52,0
0.94,C,9,1,47,50,B2,Diesel,182,R24,0
0.57,E,7,4,48,50,B6,Regular,2733,R93,0
1.0,C,8,17,37,50,B1,Diesel,115,R24,0
0.01,C,6,0,65,50,B12,Regular,120,R11,0
0.36,B,6,5,25,68,B3,Diesel,59,R24,0
0.15,D,5,5,25,72,B6,Diesel,731,R82,0
1.0,A,5,4,32,54,B1,Regular,20,R74,0
0.04,D,7,13,35,80,B2,Diesel,1054,R24,0
0.54,C,10,2,63,50,B12,Regular,299,R31,0
0.53,C,7,0,49,50,B6,Diesel,102,R24,0
1.0,B,4,5,56,58,B1,Regular,83,R23,0
1.0,C,7,7,44,50,B1,Regular,118,R53,0
1.0,E,4,14,52,50,B2,Regular,3744,R93,0
1.0,A,11,18,44,50,B1,Diesel,41,R23,0
0.72,A,5,5,23,80,B1,Diesel,3,R93,0
0.71,B,6,18,51,50,B1,Diesel,88,R54,0
1.0,B,4,1,75,50,B1,Regular,52,R53,0
0.5,E,6,12,73,50,B1,Regular,3963,R91,1
1.0,A,8,12,32,76,B12,Regular,46,R82,0
0.16,A,7,10,43,50,B1,Regular,25,R24,0
0.07,E,11,15,54,50,B10,Regular,2951,R41,0
0.5,E,10,5,40,50,B12,Regular,3386,R11,0
0.52,D,5,17,74,50,B1,Regular,1601,R41,0
0.49,E,5,11,40,50,B2,Diesel,4128,R52,0
1.0,D,6,13,32,50,B12,Diesel,1284,R25,0
0.08,C,4,10,26,80,B4,Diesel,269,R91,0
0.79,B,4,2,79,64,B2,Regular,63,R82,0
0.2,D,5,5,27,85,B3,Diesel,942,R82,1
0.38,A,9,10,30,95,B1,Regular,37,R11,0
0.92,A,5,4,76,55,B2,Regular,34,R24,0
1.0,A,5,11,30,64,B2,Diesel,50,R72,0
0.08,E,7,0,31,77,B12,Regular,2498,R72,0
0.75,A,5,8,38,68,B1,Regular,43,R24,0
1.0,D,6,1,70,50,B2,Regular,741,R24,0
1.0,D,7,8,35,64,B3,Regular,745,R82,0
0.07,E,8,0,31,100,B12,Diesel,4998,R11,0
0.03,D,7,0,38,50,B11,Regular,542,R82,0
0.03,D,5,16,34,60,B2,Regular,1326,R93,0
0.08,E,5,1,64,50,B1,Regular,6617,R11,0
0.61,E,6,1,55,50,B12,Diesel,4123,R11,0
0.25,C,4,8,38,64,B5,Regular,163,R91,0
0.03,E,11,1,30,90,B12,Diesel,9307,R82,0
0.45,C,7,0,39,50,B12,Regular,193,R91,0
1.0,B,5,5,36,50,B2,Diesel,57,R24,0
0.03,E,7,3,26,100,B11,Regular,4116,R24,0
0.21,C,6,11,33,51,B1,Regular,226,R82,0
1.0,C,7,16,29,54,B1,Regular,105,R24,0
0.08,C,5,16,48,50,B2,Diesel,206,R93,0
0.01,D,10,8,37,57,B12,Regular,1296,R24,0
1.0,C,4,13,32,50,B4,Regular,115,R24,0
0.78,E,11,0,41,67,B12,Diesel,5202,R11,0
0.64,D,7,14,26,62,B1,Regular,716,R93,0
0.08,E,11,10,57,50,B11,Regular,5177,R11,0
0.24,D,5,1,68,50,B2,Regular,769,R82,0
0.68,C,5,8,61,50,B6,Regular,205,R52,0
0.19,D,10,9,42,50,B2,Regular,575,R53,0
0.87,E,4,1,45,68,B12,Regular,9307,R82,0
0.41,C,8,14,39,68,B4,Regular,158,R82,0
1.0,C,5,5,69,50,B1,Regular,125,R53,0
0.08,D,5,20,38,50,B4,Diesel,912,R82,0
0.1,D,7,11,49,50,B2,Diesel,568,R52,0
0.42,A,6,4,53,50,B1,Diesel,32,R25,0
0.07,F,10,0,57,71,B12,Regular,27000,R11,0
0.08,B,10,18,52,58,B2,Diesel,81,R73,0
0.12,C,7,5,26,133,B2,Diesel,109,R24,0
0.66,E,6,10,26,64,B1,Diesel,2897,R82,0
1.0,B,6,7,46,50,B12,Diesel,97,R53,0
0.07,D,5,5,50,50,B5,Diesel,679,R72,0
0.00273224,D,6,3,54,50,B2,Regular,821,R24,0
1.0,B,5,1,67,50,B2,Diesel,59,R24,1
0.95,C,7,5,53,50,B12,Diesel,211,R11,0
0.36,C,7,6,30,51,B6,Regular,207,R41,0
1.0,A,6,17,52,50,B12,Regular,17,R11,0
1.0,D,5,4,49,50,B3,Regular,647,R41,0
0.1,A,10,8,42,57,B12,Regular,28,R93,0
1.0,D,4,8,73,50,B5,Regular,586,R41,0
0.25,C,5,10,56,50,B5,Diesel,214,R26,0
1.0,A,5,15,22,76,B2,Regular,27,R24,0
0.23,E,7,4,43,50,B2,Diesel,2674,R93,0
1.0,B,7,1,53,50,B2,Diesel,59,R24,0
1.0,B,6,6,79,66,B1,Diesel,50,R24,0
0.61,D,5,15,44,50,B1,Diesel,1408,R52,0
0.21,E,6,5,32,90,B5,Diesel,4456,R72,0
1.0,D,7,6,40,50,B2,Diesel,747,R53,0
0.49,E,8,16,33,100,B11,Regular,4762,R93,0
0.46,A,6,3,56,50,B12,Diesel,32,R11,1
0.8,B,7,10,72,50,B4,Regular,94,R53,0
1.0,D,6,4,37,54,B5,Regular,1158,R11,0
0.21,A,6,9,25,72,B1,Diesel,48,R25,0
