Exposure,VehValue,VehAge,VehBody,Gender,DrivAge,ClaimOcc
0.462696783,3.1,youngest cars,Hardtop,Female,working people,0
0.5366187543,1.94,youngest cars,Sedan,Male,oldest people,0
0.8542094456,2.234,youngest cars,Sedan,Male,young people,0
0.8542094456,1.62,young cars,Sedan,Female,older work. people,0
0.5366187543,2.14,old cars,Hardtop,Male,older work. people,0
0.2491444216,1.77,young cars,Hatchback,Female,youngest people,0
0.462696783,4.03,youngest cars,Station wagon,Male,young people,0
0.0958247775,2.65,youngest cars,Sedan,Female,working people,0
0.3039014374,1.13,oldest cars,Station wagon,Male,youngest people,0
0.1697467488,1.53,old cars,Sedan,Female,working people,0
0.9062286105,1.05,young cars,Hatchback,Female,working people,0
0.5366187543,0.88,oldest cars,Coupe,Male,older work. people,0
0.8542094456,2.9,old cars,Station wagon,Male,old people,0
0.5366187543,2.67,youngest cars,Hatchback,Female,young people,0
0.3449691992,0.83,oldest cars,Sedan,Male,old people,0
0.2491444216,0.7,oldest cars,Sedan,Female,youngest people,0
0.9062286105,1.15,old cars,Station wagon,Female,working people,0
0.3175906913,0.99,old cars,Hatchback,Female,working people,0
0.9719370294,1.75,young cars,Sedan,Female,young people,0
0.0958247775,2.65,youngest cars,Sedan,Female,working people,0
0.8514715948,4.06,young cars,Station wagon,Male,working people,1
0.3175906913,1.39,old cars,Hatchback,Female,older work. people,1
0.9062286105,1.19,young cars,Hatchback,Female,old people,0
0.9062286105,1.19,young cars,Hatchback,Female,youngest people,0
0.3531827515,0.79,old cars,Hatchback,Female,young people,0
0.8542094456,1.74,young cars,Hatchback,Female,working people,0
0.0930869268,0.77,oldest cars,Coupe,Male,young people,0
0.0301163587,2.58,young cars,Hatchback,Male,old people,0
0.0301163587,0.79,old cars,Sedan,Female,working people,0
0.6735112936,1.79,oldest cars,Utility,Female,working people,0
0.0465434634,1.79,youngest cars,Hatchback,Male,oldest people,0
0.8542094456,1.9,youngest cars,Hatchback,Male,youngest people,0
0.0958247775,1.84,oldest cars,Station wagon,Male,working people,0
0.0301163587,0.39,oldest cars,Hatchback,Female,older work. people,0
0.0246406571,5.39,young cars,Station wagon,Male,old people,0
0.0301163587,1.43,young cars,Sedan,Female,older work. people,0
0.2299794661,2.33,old cars,Minibus,Female,working people,0
0.34770705,3.68,youngest cars,Utility,Female,young people,0
0.3175906913,3.43,young cars,Station wagon,Female,young people,0
0.2299794661,1.13,old cars,Sedan,Male,working people,0
0.3175906913,2.65,old cars,Hardtop,Male,old people,0
0.2299794661,1.98,old cars,Utility,Male,young people,0
0.2491444216,0.68,old cars,Hatchback,Female,working people,0
0.6652977413,1.15,old cars,Sedan,Male,older work. people,0
0.9993155373,3.19,old cars,Hardtop,Male,older work. people,0
0.3449691992,1.14,old cars,Sedan,Male,older work. people,0
0.219028063,1.43,young cars,Sedan,Female,older work. people,0
0.7775496235,1.22,oldest cars,Hardtop,Female,young people,0
0.2436687201,1.75,young cars,Sedan,Male,older work. people,0
0.7501711157,0.38,oldest cars,Hatchback,Female,young people,0
0.2327173169,4.7,young cars,Station wagon,Male,young people,0
0.3175906913,2.66,youngest cars,Station wagon,Female,old people,1
0.2299794661,1.59,youngest cars,Sedan,Female,youngest people,0
0.0273785079,0.54,oldest cars,Sedan,Male,older work. people,0
0.0711841205,0.5,oldest cars,Hatchback,Female,old people,1
0.2299794661,1.3,young cars,Hatchback,Female,youngest people,0
0.0273785079,1.41,young cars,Hatchback,Female,older work. people,0
0.3175906913,1.75,young cars,Hatchback,Female,older work. people,0
0.0301163587,2.29,young cars,Utility,Male,young people,0
0.2217659138,4.64,youngest cars,Station wagon,Female,working people,0
0.2765229295,0.8,old cars,Hatchback,Male,oldest people,0
0.8514715948,3.55,young cars,Station wagon,Female,working people,0
0.3175906913,1.75,young cars,Hatchback,Male,working people,0
0.6954140999,1.48,young cars,Hatchback,Female,young people,0
0.3942505133,1.22,old cars,Hatchback,Male,working people,0
0.3066392882,3.14,young cars,Utility,Female,young people,0
0.3175906913,1.51,oldest cars,Station wagon,Male,older work. people,0
0.7227926078,1.65,old cars,Sedan,Male,older work. people,0
0.3175906913,1.64,young cars,Utility,Male,older work. people,0
0.3449691992,2.17,old cars,Station wagon,Female,old people,0
0.3175906913,1.31,young cars,Hatchback,Male,young people,0
0.5968514716,1.16,oldest cars,Station wagon,Female,young people,1
0.8788501027,0.77,oldest cars,Sedan,Female,old people,0
0.3175906913,0.43,oldest cars,Hatchback,Female,working people,0
0.7227926078,4.98,youngest cars,Station wagon,Male,old people,0
0.9062286105,1.72,young cars,Sedan,Female,oldest people,0
0.6707734428,2.47,old cars,Hardtop,Male,young people,0
0.7227926078,4.17,young cars,Station wagon,Female,young people,0
0.2299794661,1.13,old cars,Sedan,Male,oldest people,0
0.0273785079,0.67,oldest cars,Hatchback,Female,old people,0
0.9062286105,3.56,old cars,Motorized caravan,Male,older work. people,1
0.3175906913,2.56,young cars,Station wagon,Female,working people,0
0.2299794661,1.36,youngest cars,Hatchback,Female,old people,0
0.9993155373,3.999,youngest cars,Sedan,Male,youngest people,0
0.090349076,1.64,young cars,Hatchback,Female,older work. people,0
0.6543463381,2.15,old cars,Sedan,Female,old people,1
0.2299794661,0.89,old cars,Hatchback,Male,young people,0
0.9034907598,3.03,youngest cars,Truck,Male,youngest people,1
0.3394934976,2.41,old cars,Station wagon,Male,youngest people,1
0.7693360712,0.73,oldest cars,Sedan,Male,old people,0
0.462696783,0.82,oldest cars,Hardtop,Female,youngest people,0
0.0930869268,1.39,old cars,Sedan,Male,young people,0
0.3449691992,2.54,old cars,Hardtop,Male,old people,0
0.3449691992,0.76,oldest cars,Sedan,Male,working people,0
0.2299794661,0.41,oldest cars,Hatchback,Male,old people,0
0.5831622177,3.599,youngest cars,Station wagon,Female,working people,0
0.3066392882,1.98,old cars,Sedan,Female,working people,0
0.2299794661,0.76,oldest cars,Sedan,Female,working people,0
0.2299794661,0.53,oldest cars,Hatchback,Female,working people,0
0.3449691992,1.86,young cars,Station wagon,Female,older work. people,0
0.2929500342,0.22,oldest cars,Hatchback,Male,oldest people,0
0.7227926078,1.65,old cars,Sedan,Female,working people,0
0.2245037645,1.33,old cars,Hatchback,Female,oldest people,0
0.3066392882,0.85,old cars,Hatchback,Female,working people,0
0.6160164271,1.97,old cars,Station wagon,Male,old people,0
0.0191649555,1.15,oldest cars,Hatchback,Female,older work. people,0
0.2902121834,2.65,youngest cars,Sedan,Male,old people,0
0.6160164271,0.45,oldest cars,Hatchback,Female,oldest people,0
0.6160164271,0.45,oldest cars,Hatchback,Female,oldest people,0
0.6160164271,0.67,oldest cars,Sedan,Female,old people,0
0.6488706365,1.3,young cars,Hatchback,Female,old people,0
0.6160164271,0.59,oldest cars,Coupe,Female,older work. people,0
0.6160164271,1.55,young cars,Sedan,Female,old people,0
0.2464065708,1.56,youngest cars,Sedan,Female,old people,0
0.6160164271,0.41,oldest cars,Sedan,Female,old people,0
0.6461327858,1.72,young cars,Sedan,Female,oldest people,0
0.6160164271,0.44,oldest cars,Sedan,Male,oldest people,0
0.6160164271,2.58,old cars,Station wagon,Male,oldest people,0
0.2299794661,1.84,youngest cars,Panel van,Male,working people,0
0.6160164271,0.22,oldest cars,Hatchback,Female,old people,0
0.6160164271,1.72,young cars,Station wagon,Female,oldest people,1
0.2299794661,3.05,young cars,Station wagon,Female,young people,0
0.3367556468,1.85,youngest cars,Sedan,Female,old people,0
0.6160164271,3.21,youngest cars,Station wagon,Male,older work. people,0
0.6160164271,0.89,oldest cars,Station wagon,Male,oldest people,0
0.3832991102,1.98,young cars,Sedan,Male,young people,0
0.3832991102,0.52,oldest cars,Sedan,Female,oldest people,0
0.6160164271,1.92,oldest cars,Station wagon,Male,old people,1
0.6160164271,1.15,old cars,Hatchback,Female,young people,0
0.6160164271,0.5,oldest cars,Station wagon,Female,working people,0
0.2299794661,6.54,youngest cars,Station wagon,Female,older work. people,0
0.6160164271,5.14,youngest cars,Station wagon,Male,oldest people,0
0.6160164271,0.67,oldest cars,Sedan,Female,older work. people,0
0.3832991102,1.39,old cars,Sedan,Male,young people,0
0.3832991102,4.65,youngest cars,Station wagon,Female,working people,0
0.3832991102,1.43,old cars,Sedan,Female,young people,0
0.3832991102,0.43,oldest cars,Sedan,Female,young people,0
0.6187542779,1.02,old cars,Sedan,Female,old people,0
0.1752224504,1.51,old cars,Sedan,Female,young people,0
0.257357974,2.649,youngest cars,Truck,Male,youngest people,1
0.6160164271,1.31,oldest cars,Station wagon,Male,working people,0
0.424366872,2.48,old cars,Station wagon,Male,youngest people,0
0.257357974,1.74,young cars,Sedan,Female,young people,0
0.0930869268,1.62,oldest cars,Station wagon,Female,working people,0
0.6160164271,5.43,youngest cars,Station wagon,Female,working people,0
0.6160164271,0.65,oldest cars,Sedan,Male,older work. people,0
0.6160164271,0.35,oldest cars,Sedan,Male,old people,0
0.6160164271,3.73,young cars,Station wagon,Male,old people,0
0.3449691992,1.61,young cars,Sedan,Female,older work. people,0
0.6160164271,0.82,oldest cars,Hatchback,Female,oldest people,0
0.6160164271,1.33,oldest cars,Truck,Male,youngest people,0
0.3422313484,0.78,old cars,Hatchback,Female,older work. people,0
0.6160164271,3.98,young cars,Station wagon,Female,young people,0
0.6160164271,0.95,oldest cars,Hardtop,Male,oldest people,0
0.3832991102,1.14,oldest cars,Sedan,Female,working people,0
0.6160164271,0.53,oldest cars,Sedan,Female,old people,0
0.6160164271,1.5,oldest cars,Station wagon,Male,working people,0
0.6160164271,1.76,young cars,Station wagon,Male,working people,0
0.3148528405,1.0,young cars,Hatchback,Male,older work. people,0
0.6160164271,1.22,old cars,Hatchback,Male,older work. people,0
0.3832991102,2.82,old cars,Station wagon,Female,working people,0
0.900752909,2.13,young cars,Hardtop,Female,young people,0
0.2847364819,1.01,oldest cars,Station wagon,Male,oldest people,0
0.6160164271,1.84,young cars,Sedan,Female,oldest people,0
0.3832991102,3.11,old cars,Truck,Male,working people,0
0.6160164271,0.39,oldest cars,Sedan,Male,older work. people,0
0.0930869268,1.01,old cars,Hatchback,Female,youngest people,0
0.6160164271,2.58,old cars,Station wagon,Male,old people,0
0.6160164271,0.51,oldest cars,Sedan,Female,older work. people,0
0.6160164271,1.02,old cars,Sedan,Female,oldest people,0
0.6461327858,1.63,young cars,Hatchback,Female,old people,0
0.6160164271,0.84,old cars,Hatchback,Female,older work. people,0
0.6160164271,2.34,old cars,Hatchback,Male,old people,0
0.6160164271,1.86,young cars,Sedan,Female,working people,1
0.6160164271,7.2,old cars,Sedan,Female,oldest people,0
0.6160164271,0.46,oldest cars,Station wagon,Female,older work. people,0
0.9034907598,1.66,old cars,Station wagon,Female,working people,0
0.7665982204,3.71,youngest cars,Station wagon,Female,working people,0
0.6160164271,1.62,oldest cars,Station wagon,Female,working people,0
0.6160164271,0.58,oldest cars,Coupe,Female,older work. people,0
0.6160164271,3.06,old cars,Station wagon,Female,older work. people,0
0.7693360712,1.17,old cars,Sedan,Female,youngest people,0
0.6160164271,0.98,old cars,Sedan,Female,working people,0
0.6160164271,1.02,oldest cars,Hatchback,Female,young people,0
0.6160164271,1.4,old cars,Sedan,Female,older work. people,0
0.0985626283,2.97,youngest cars,Station wagon,Male,older work. people,0
0.6187542779,1.78,young cars,Sedan,Female,young people,0
0.3449691992,0.41,oldest cars,Hatchback,Female,working people,0
0.9418206708,2.74,young cars,Station wagon,Male,working people,0
0.3832991102,5.299,youngest cars,Station wagon,Female,working people,0
0.2546201232,1.42,youngest cars,Hatchback,Male,working people,0
0.6160164271,2.01,old cars,Hardtop,Male,old people,0
0.6160164271,1.54,young cars,Station wagon,Female,working people,1
0.6160164271,4.0,young cars,Station wagon,Female,older work. people,0
0.6461327858,1.3,young cars,Hatchback,Male,older work. people,0
0.1724845996,1.34,young cars,Hatchback,Female,working people,0
0.3832991102,1.67,young cars,Station wagon,Female,old people,0
0.7501711157,1.88,old cars,Panel van,Male,working people,1
0.3449691992,1.03,old cars,Hatchback,Female,older work. people,0
0.2299794661,1.43,oldest cars,Truck,Male,youngest people,0
0.6844626968,0.89,old cars,Sedan,Female,working people,1
0.0930869268,1.13,oldest cars,Station wagon,Female,young people,0
0.1916495551,1.9,old cars,Panel van,Male,old people,0
0.8706365503,2.11,young cars,Hatchback,Female,working people,0
0.7501711157,1.82,youngest cars,Utility,Male,older work. people,0
0.9993155373,0.0,old cars,Bus,Male,old people,0
0.7529089665,3.03,youngest cars,Station wagon,Male,working people,0
0.4161533196,3.7,old cars,Station wagon,Male,youngest people,0
0.3915126626,2.22,old cars,Hardtop,Female,young people,0
0.6461327858,2.15,old cars,Sedan,Female,older work. people,0
0.6461327858,0.58,oldest cars,Hatchback,Male,working people,0
0.6269678302,1.53,oldest cars,Station wagon,Male,older work. people,0
0.6461327858,1.55,young cars,Hatchback,Female,young people,0
0.6461327858,1.12,oldest cars,Station wagon,Male,working people,0
0.925393566,0.48,oldest cars,Hatchback,Female,oldest people,0
0.0930869268,1.67,youngest cars,Truck,Male,young people,0
0.643394935,1.02,old cars,Hatchback,Male,older work. people,0
0.2491444216,1.64,oldest cars,Station wagon,Male,working people,0
0.5557837098,2.01,old cars,Truck,Male,old people,0
0.925393566,0.85,old cars,Hatchback,Female,older work. people,0
0.6461327858,1.42,youngest cars,Hatchback,Female,oldest people,0
0.2491444216,2.75,old cars,Station wagon,Female,working people,0
0.128678987,1.66,young cars,Sedan,Male,working people,0
0.2299794661,1.66,old cars,Sedan,Male,old people,0
0.219028063,1.18,oldest cars,Station wagon,Female,working people,0
0.7173169062,0.95,oldest cars,Sedan,Female,oldest people,0
0.643394935,1.77,young cars,Sedan,Male,older work. people,0
0.720054757,1.3,youngest cars,Hatchback,Female,working people,0
0.7857631759,0.65,oldest cars,Minibus,Female,old people,0
0.9062286105,0.73,oldest cars,Sedan,Male,oldest people,0
0.5037645448,1.12,young cars,Hatchback,Female,youngest people,0
0.2299794661,0.98,old cars,Hatchback,Female,oldest people,0
0.7693360712,1.399,youngest cars,Hatchback,Female,old people,0
0.1998631075,1.31,oldest cars,Utility,Male,old people,0
0.2299794661,1.76,youngest cars,Sedan,Female,youngest people,0
0.900752909,1.42,youngest cars,Hatchback,Female,working people,0
0.2299794661,0.41,oldest cars,Sedan,Female,young people,0
0.2299794661,4.0,young cars,Station wagon,Male,working people,0
0.0930869268,1.19,oldest cars,Utility,Male,older work. people,0
0.7501711157,0.47,oldest cars,Hatchback,Female,youngest people,0
0.0273785079,2.01,old cars,Utility,Female,working people,0
0.9062286105,1.55,oldest cars,Hardtop,Male,youngest people,0
0.1998631075,1.45,young cars,Sedan,Female,young people,0
0.0930869268,1.2,young cars,Hatchback,Male,youngest people,0
0.2299794661,1.03,old cars,Station wagon,Female,youngest people,0
0.8514715948,1.89,young cars,Station wagon,Female,oldest people,0
0.3011635866,2.0,youngest cars,Sedan,Male,older work. people,0
0.2491444216,1.73,young cars,Sedan,Male,working people,0
0.2299794661,1.07,old cars,Sedan,Female,young people,0
0.2491444216,2.72,youngest cars,Sedan,Female,working people,0
0.8514715948,3.22,youngest cars,Utility,Male,working people,0
0.2354551677,0.45,oldest cars,Coupe,Female,older work. people,0
0.052019165,0.48,oldest cars,Sedan,Female,oldest people,0
0.605065024,1.22,old cars,Hatchback,Male,older work. people,0
0.9993155373,3.19,young cars,Hatchback,Female,older work. people,0
0.3778234086,2.79,youngest cars,Sedan,Female,young people,0
0.8514715948,0.9,oldest cars,Sedan,Male,young people,0
0.2491444216,6.1,youngest cars,Sedan,Male,old people,0
0.1916495551,4.46,young cars,Coupe,Male,young people,1
0.6488706365,4.56,young cars,Minibus,Male,working people,0
0.1998631075,1.48,youngest cars,Hatchback,Female,old people,0
0.8514715948,2.33,young cars,Sedan,Male,old people,0
0.2491444216,2.67,old cars,Station wagon,Female,older work. people,0
0.0273785079,1.59,young cars,Sedan,Female,working people,0
0.6461327858,4.32,young cars,Station wagon,Male,old people,1
0.5393566051,1.05,young cars,Hatchback,Male,working people,0
0.925393566,1.06,old cars,Station wagon,Male,older work. people,0
0.2491444216,6.07,youngest cars,Station wagon,Male,working people,0
0.8514715948,5.59,youngest cars,Station wagon,Male,working people,1
0.6652977413,1.44,oldest cars,Utility,Male,young people,1
0.0739219713,1.41,young cars,Hatchback,Female,oldest people,0
0.1998631075,0.47,oldest cars,Sedan,Male,working people,0
0.3531827515,1.84,oldest cars,Station wagon,Female,older work. people,0
0.8514715948,2.81,youngest cars,Station wagon,Male,working people,1
0.2491444216,2.55,youngest cars,Sedan,Female,old people,0
0.848733744,3.01,young cars,Station wagon,Male,older work. people,0
0.2491444216,1.6,young cars,Hatchback,Female,older work. people,0
0.772073922,1.59,old cars,Panel van,Female,old people,0
0.6461327858,2.01,old cars,Hardtop,Female,young people,0
0.6461327858,1.43,oldest cars,Station wagon,Female,oldest people,0
0.4024640657,0.73,oldest cars,Sedan,Female,working people,0
0.2354551677,0.79,oldest cars,Sedan,Female,older work. people,0
0.3531827515,1.49,young cars,Hatchback,Female,older work. people,0
0.925393566,0.67,oldest cars,Sedan,Male,old people,0
0.772073922,1.23,young cars,Hatchback,Female,young people,0
0.0273785079,1.67,young cars,Sedan,Female,oldest people,0
0.3559206023,1.26,old cars,Hatchback,Female,youngest people,0
0.6461327858,3.75,young cars,Station wagon,Female,working people,0
0.643394935,0.34,oldest cars,Sedan,Female,older work. people,0
0.3531827515,1.61,young cars,Hatchback,Male,working people,0
0.9993155373,1.41,young cars,Sedan,Female,young people,0
0.2491444216,2.95,youngest cars,Station wagon,Female,oldest people,0
0.8514715948,1.578,youngest cars,Hatchback,Male,older work. people,0
0.2217659138,1.12,young cars,Hatchback,Female,working people,0
0.0273785079,1.36,young cars,Sedan,Female,older work. people,0
0.2491444216,0.92,old cars,Hatchback,Female,young people,0
0.8514715948,0.73,old cars,Hatchback,Female,youngest people,0
0.9993155373,1.22,old cars,Hatchback,Female,oldest people,0
0.1040383299,5.65,youngest cars,Station wagon,Male,working people,0
0.6132785763,3.0,old cars,Station wagon,Female,young people,1
0.2272416153,0.54,oldest cars,Hatchback,Female,older work. people,0
0.1998631075,1.76,youngest cars,Hatchback,Female,old people,0
0.3312799452,1.07,oldest cars,Station wagon,Male,working people,0
0.1451060917,1.14,oldest cars,Utility,Male,young people,0
0.0958247775,0.2,oldest cars,Hatchback,Male,working people,0
0.6461327858,1.51,old cars,Utility,Male,working people,0
0.3531827515,2.29,oldest cars,Station wagon,Female,older work. people,1
0.925393566,0.39,oldest cars,Sedan,Female,oldest people,1
0.2217659138,1.75,young cars,Hatchback,Female,young people,0
0.3148528405,1.31,young cars,Hatchback,Female,youngest people,0
0.3915126626,0.47,oldest cars,Station wagon,Female,working people,0
0.2080766598,1.09,old cars,Hatchback,Female,working people,0
0.2491444216,1.3,young cars,Hatchback,Female,old people,0
0.772073922,1.23,young cars,Hatchback,Male,youngest people,0
0.2272416153,1.9,youngest cars,Sedan,Female,older work. people,0
0.8514715948,1.87,old cars,Hatchback,Female,older work. people,0
0.1259411362,1.17,oldest cars,Station wagon,Male,working people,0
0.643394935,2.37,old cars,Minibus,Male,working people,0
0.2245037645,1.68,old cars,Hatchback,Female,older work. people,0
0.3531827515,1.83,old cars,Sedan,Male,youngest people,0
0.925393566,1.29,old cars,Sedan,Male,working people,1
0.2299794661,0.3,oldest cars,Hatchback,Male,older work. people,0
0.2491444216,1.52,old cars,Hatchback,Female,working people,0
0.643394935,2.35,young cars,Coupe,Female,working people,0
0.2135523614,0.34,oldest cars,Hatchback,Female,youngest people,0
0.2491444216,0.99,young cars,Hatchback,Female,old people,0
0.8514715948,1.84,young cars,Hatchback,Female,older work. people,0
0.8514715948,1.23,old cars,Hatchback,Female,older work. people,0
0.6899383984,2.03,young cars,Sedan,Female,old people,0
0.2272416153,1.51,oldest cars,Hardtop,Male,young people,0
0.2272416153,0.76,oldest cars,Sedan,Female,youngest people,0
0.2245037645,1.9,oldest cars,Station wagon,Female,older work. people,0
0.1752224504,2.75,youngest cars,Station wagon,Female,working people,0
0.2245037645,0.9,old cars,Sedan,Female,oldest people,0
0.720054757,1.74,young cars,Hatchback,Female,oldest people,0
0.925393566,2.39,old cars,Station wagon,Male,oldest people,0
0.6461327858,2.14,old cars,Utility,Male,older work. people,0
0.6461327858,1.03,young cars,Hatchback,Female,young people,0
0.605065024,1.28,oldest cars,Station wagon,Male,older work. people,0
0.2272416153,0.67,oldest cars,Coupe,Female,working people,0
0.720054757,0.9,old cars,Hatchback,Female,older work. people,0
0.2491444216,1.07,old cars,Sedan,Male,older work. people,0
0.2491444216,2.29,youngest cars,Sedan,Male,working people,0
0.3778234086,1.13,oldest cars,Sedan,Female,youngest people,1
0.8514715948,1.37,young cars,Hatchback,Male,working people,0
0.8514715948,0.62,oldest cars,Coupe,Male,older work. people,0
0.0465434634,1.26,young cars,Hatchback,Female,young people,0
0.0410677618,1.98,oldest cars,Station wagon,Female,older work. people,0
0.9993155373,0.0,oldest cars,Station wagon,Male,working people,1
0.2491444216,2.04,youngest cars,Hatchback,Male,youngest people,0
0.2491444216,2.1,old cars,Coupe,Female,working people,0
0.2245037645,1.82,youngest cars,Hatchback,Female,older work. people,0
0.7830253251,0.31,oldest cars,Hatchback,Female,oldest people,0
0.2491444216,2.29,youngest cars,Sedan,Male,young people,0
0.2491444216,1.38,youngest cars,Hatchback,Female,youngest people,0
0.2792607803,1.85,young cars,Sedan,Female,working people,0
0.0273785079,1.5,young cars,Hatchback,Female,working people,0
0.0739219713,2.78,young cars,Sedan,Male,old people,0
0.5256673511,2.49,young cars,Sedan,Male,working people,0
0.1396303901,1.3,oldest cars,Hardtop,Male,working people,0
0.2245037645,5.236,youngest cars,Station wagon,Male,working people,0
0.0273785079,0.99,old cars,Sedan,Female,old people,0
0.8514715948,0.93,oldest cars,Sedan,Female,older work. people,0
0.720054757,2.76,youngest cars,Station wagon,Female,working people,0
0.925393566,1.62,old cars,Sedan,Male,old people,0
0.3093771389,3.22,young cars,Hardtop,Female,young people,0
0.7501711157,2.41,youngest cars,Hatchback,Female,working people,1
0.2245037645,1.11,oldest cars,Utility,Male,young people,0
0.8514715948,0.66,oldest cars,Hatchback,Female,young people,0
0.7501711157,3.69,young cars,Truck,Male,youngest people,0
0.2546201232,0.93,oldest cars,Truck,Female,old people,0
0.3011635866,1.67,young cars,Hatchback,Female,oldest people,0
0.2217659138,1.86,youngest cars,Sedan,Male,youngest people,0
0.2464065708,3.47,youngest cars,Sedan,Male,working people,1
0.2792607803,1.53,old cars,Utility,Male,young people,0
0.8295687885,1.39,youngest cars,Hatchback,Female,older work. people,0
0.3093771389,1.26,young cars,Hatchback,Male,older work. people,0
0.8295687885,2.82,youngest cars,Station wagon,Male,old people,0
0.3148528405,1.79,young cars,Sedan,Male,older work. people,0
0.2245037645,1.2,youngest cars,Hatchback,Female,working people,0
0.8514715948,3.14,old cars,Truck,Male,youngest people,1
0.3093771389,0.68,old cars,Hatchback,Female,working people,0
0.6461327858,1.17,young cars,Hatchback,Male,working people,0
0.3586584531,1.71,young cars,Sedan,Female,working people,0
0.3093771389,1.12,old cars,Hatchback,Female,young people,0
0.2245037645,0.39,oldest cars,Hatchback,Male,working people,0
0.6899383984,1.64,old cars,Station wagon,Female,older work. people,0
0.5475701574,1.349,youngest cars,Hatchback,Female,working people,0
0.720054757,1.81,oldest cars,Hatchback,Male,young people,0
0.1013004791,0.55,oldest cars,Hatchback,Female,youngest people,0
0.2245037645,1.0,old cars,Hatchback,Female,young people,0
0.0739219713,1.18,old cars,Sedan,Male,oldest people,0
0.1724845996,2.0,young cars,Sedan,Female,older work. people,0
0.5256673511,1.428,youngest cars,Hatchback,Female,older work. people,0
0.2245037645,2.87,young cars,Station wagon,Female,working people,0
0.8624229979,1.16,old cars,Sedan,Male,oldest people,0
0.0273785079,0.92,old cars,Sedan,Male,older work. people,0
0.9034907598,1.38,young cars,Hatchback,Female,working people,0
0.3093771389,1.64,oldest cars,Station wagon,Male,young people,0
0.6981519507,2.3,old cars,Station wagon,Male,old people,0
0.2162902122,1.74,young cars,Sedan,Female,older work. people,0
0.8459958932,1.37,youngest cars,Hatchback,Female,youngest people,0
0.9034907598,1.3,oldest cars,Hardtop,Female,youngest people,0
0.5256673511,2.85,young cars,Utility,Male,youngest people,0
0.2792607803,1.61,young cars,Hatchback,Female,youngest people,0
0.8514715948,2.234,youngest cars,Sedan,Female,oldest people,0
0.9117043121,1.39,old cars,Hatchback,Male,old people,0
0.0930869268,0.43,oldest cars,Hatchback,Female,oldest people,0
0.1779603012,1.24,old cars,Sedan,Female,old people,0
0.37234770699999997,2.47,youngest cars,Sedan,Female,old people,0
0.9089664613,1.6,young cars,Sedan,Female,old people,0
0.9089664613,2.15,old cars,Utility,Male,oldest people,0
0.9117043121,1.98,oldest cars,Station wagon,Male,oldest people,1
0.9089664613,0.48,oldest cars,Sedan,Female,young people,0
0.9062286105,3.3,young cars,Station wagon,Male,old people,1
0.9089664613,1.49,old cars,Sedan,Male,oldest people,0
